question,answer
What is discrete mathematics?,"Discrete mathematics is a branch of mathematics that studies discrete objects such as integers, graphs, and combinatorial structures."
What is a set?,"A set is a clearly defined group of objects, where each object is called an element of the set."
What is an empty set?,"An empty set is a set that contains no elements, denoted by ∅ or {}."
What is the intersection of two sets?,The intersection of two sets A and B is the set containing the common elements of both A and B.
What is the union of two sets?,The union of two sets A and B is the set containing all the elements of A and B.
What is a graph?,A graph is a structure consisting of vertices and edges connecting those vertices.
What is an undirected graph?,An undirected graph is a graph where the edges have no direction.
What is a directed graph?,A directed graph is a graph where the edges have direction from one vertex to another.
What is a cycle in a graph?,A cycle in a graph is a path that starts and ends at the same vertex.
What is a tree?,A tree is a connected undirected graph that does not contain cycles.
What is a connected graph?,A connected graph is a graph where there is a path between any two vertices.
What is the degree of a vertex in a graph?,The degree of a vertex is the number of edges connected to that vertex.
What is an Eulerian path?,An Eulerian path is a path that traverses every edge of the graph exactly once.
What is an Eulerian cycle?,An Eulerian cycle is an Eulerian path that starts and ends at the same vertex.
What is a Hamiltonian path?,A Hamiltonian path is a path that visits every vertex of the graph exactly once.
What is a Hamiltonian cycle?,A Hamiltonian cycle is a Hamiltonian path that starts and ends at the same vertex.
What is the complement of a set?,The complement of set A in U is the set of elements that belong to U but not to A.
What is the difference of two sets?,The difference of two sets A and B is the set of elements that belong to A but not to B.
What is a Venn diagram?,A Venn diagram is a diagram that shows the relationships between sets.
What is Dirichlet's principle?,"Dirichlet's principle states that if n objects are placed into m boxes with n > m, then at least one box contains more than one object."
What is a combination?,The number of combinations of n elements taken k at a time is the number of ways to choose k elements from n elements without regard to the order.
What is Dijkstra's algorithm?,Dijkstra's algorithm is an algorithm for finding the shortest path from one vertex to other vertices in a graph with non-negative weights.
What is a minimum spanning tree?,The minimum spanning tree of a connected graph is a sub-tree that spans all vertices with the minimum total weight of edges.
What is Kruskal's algorithm?,Kruskal's algorithm is an algorithm for finding the minimum spanning tree by selecting edges with the smallest weights.
What is a convolution operation?,A convolution operation is a mathematical operation between two sets to produce a new set.
What is Boolean algebra?,Boolean algebra is a branch of algebra that deals with truth values and logical operations.
What is a Boolean function?,A Boolean function is a function that has inputs and outputs as Boolean values.
What is a truth table?,A truth table is a table that lists all input values and the resulting output of a Boolean function.
What is De Morgan's theorem?,De Morgan's theorem provides rules for transforming logical operations.
What is Prim's algorithm?,Prim's algorithm is an algorithm for finding a minimum spanning tree starting from a vertex.
What is graph theory?,Graph theory is a branch of mathematics that studies graphs and their properties.
What is an adjacency matrix?,An adjacency matrix is a matrix that represents the adjacency relationship between the vertices of a graph.
What is Depth-First Search (DFS)?,"DFS is a graph traversal algorithm that explores a path from a vertex until it can no longer continue, then backtracks and continues searching at other vertices."
What is Breadth-First Search (BFS)?,BFS is a graph traversal algorithm that visits all adjacent vertices before moving to the adjacent vertices of those vertices.
What is a weighted graph?,A weighted graph is a graph where each edge is assigned a value called weight.
What is a permutation?,The number of permutations of n elements taken k at a time is the number of ways to arrange k elements from n elements considering the order.
What is an isolated vertex?,An isolated vertex in a graph is a vertex that has no edges connecting it to any other vertex.
What is a path?,A path in a graph is a sequence of consecutive edges between vertices.
What is the length of a path?,The length of a path is the total number of edges in that path.
What is a path matrix?,A path matrix represents the number of paths between vertices in a graph.
What is a bipartite graph?,A bipartite graph is a graph whose vertices can be divided into two disjoint sets.
What is the power set?,The power set is the set of all subsets of a given set.
What is integer division?,Integer division is a division operation that only takes the integer part of the result.
What is the Fibonacci sequence?,The Fibonacci sequence is a sequence of numbers where each number is the sum of the two preceding ones.
What is Bayes' theorem?,Bayes' theorem is a formula for calculating conditional probability based on known information.
What is a tree diagram?,A tree diagram is a diagram that represents possibilities or choices in a process.
What is the fundamental theorem of probability?,The fundamental theorem of probability states that the total probability of all outcomes in an event is 1.
What is conditional probability?,Conditional probability is the probability of an event occurring given that another event has occurred.
What is the law of total probability?,The law of total probability calculates the probability of an event based on different possible scenarios.
What is the Travelling Salesman Problem (TSP)?,"The Travelling Salesman Problem is the problem of finding the shortest route that visits all cities and returns to the starting point, ensuring each city is visited exactly once."
What is the Minimum Spanning Tree problem?,This problem requires finding a sub-tree that covers all vertices of a graph with the minimum total weight of edges.
What problem does Kruskal's algorithm solve?,Kruskal's algorithm is used to find the minimum spanning tree in a weighted graph.
What is the Shortest Path Problem?,The Shortest Path Problem involves finding the path with the smallest total weight from one vertex to another in a weighted graph.
What is the matching problem in graph theory?,The matching problem seeks to find a set of edges such that no two edges share a common vertex.
What is the scheduling problem?,"The scheduling problem involves arranging tasks to meet time, resource, and optimization requirements."
What is the graph coloring problem?,"The graph coloring problem involves assigning colors to the vertices of a graph such that no two adjacent vertices have the same color, using the minimum number of colors."
What is the Eulerian Path problem?,The Eulerian Path problem seeks a path that traverses every edge of a graph exactly once.
What is the Hamiltonian Path problem?,The Hamiltonian Path problem seeks a path that visits every vertex of a graph exactly once.
What is the Set Partitioning Problem?,The Set Partitioning Problem involves dividing a set into disjoint subsets such that the total weights in each subset are balanced or meet specific requirements.
What is the Linear Programming problem?,The Linear Programming problem involves optimizing a linear objective function subject to linear constraints.
What is the Integer Linear Programming problem?,The Integer Linear Programming problem is a variant of linear programming where the variables can only take integer values.
What is the Independent Set Problem?,The Independent Set Problem seeks the largest subset of vertices such that no edge connects them.
What is the problem of determining the connectivity of a graph?,"This problem involves determining whether a graph is connected, meaning there is a path between every pair of vertices."
What is the Set Cover Problem?,The Set Cover Problem involves selecting the smallest subset from a collection of subsets to cover all elements in the original set.
What is the problem of counting paths in a graph?,This problem seeks to find the number of paths between two vertices in a graph.
What is the problem of counting Eulerian cycles in a graph?,This problem seeks to find the number of Eulerian cycles in a graph (cycles that traverse all edges exactly once).
What is the problem of counting Hamiltonian cycles in a graph?,This problem seeks to find the number of Hamiltonian cycles in a graph (cycles that visit all vertices exactly once).
What is a Biconnected Graph?,A Biconnected Graph is a connected graph that remains connected after the removal of any single vertex.
What is a Planar Graph?,A Planar Graph is a graph that can be drawn on a plane without any edges crossing.
"C(8, 3) = ?",56
"P(6, 2) = ?",30
3! + 4! = ?,30
"C(10, 5) = ?",252
4 × (3 + 2) - 1 = ?,19
10! ÷ (8! × 2!) = ?,45
7 × (5 - 3) + 6 = ?,20
